v_start_cluster,Condition_Dist,Decision,RT_go,RT_stay,subj_id
8.0,160,0.2197658811587773,1.6425543210883886,2.277497041331378,all
8.1,160,0.2213790329169321,1.6327432550020784,2.277540600938029,all
8.2,160,0.22745403676582476,1.617111088836922,2.274689566613709,all
8.3,160,0.22955490301932832,1.6071530017160072,2.2748047268008444,all
8.4,160,0.23408444232380315,1.5941567534067593,2.2701696462805265,all
8.5,160,0.23893109138011293,1.581082844272458,2.265563066415642,all
8.6,160,0.24413135205081307,1.568062154948608,2.267514070412366,all
8.7,160,0.24964456690765643,1.5548413488030994,2.2629307574878834,all
8.8,160,0.2530284840668948,1.5446068941230848,2.2631810931343215,all
8.9,160,0.25918228760652734,1.5312736945059033,2.258626377304956,all
9.0,160,0.263097993267804,1.520961562284851,2.2589086989945786,all
9.1,160,0.2699346342256154,1.507528235169889,2.2543643653094545,all
9.2,160,0.2771947637963521,1.4941413871462828,2.256193988417041,all
9.3,160,0.28485279081484366,1.480598934186522,2.2516016957792293,all
9.4,160,0.29000157919048003,1.4701488317470515,2.2518684477671833,all
9.5,160,0.29845445926979275,1.4565289229838874,2.2472445646250336,all
9.6,160,0.30425383625310776,1.4460319757396478,2.2474937148632184,all
9.7,160,0.3103556159043015,1.4355202696167952,2.2477287346414796,all
9.8,160,0.32006351069870587,1.4218098055836568,2.2430338099504152,all
9.9,160,0.3268888194929839,1.4112627622423124,2.24323140348637,all
10.0,160,0.3375582130366576,1.3974965355161357,2.238459812356765,all
10.1,160,0.3451649471591136,1.3869208150720043,2.238603217698924,all
10.2,160,0.35313584684460575,1.3763377941153403,2.2387181615801923,all
10.3,160,0.3653359642277828,1.362506311191627,2.233812435735017,all
10.4,160,0.3741861512620117,1.3519032338314927,2.233855746973698,all
10.5,160,0.3834302561097971,1.3412406200364242,2.227731532978701,all
10.6,160,0.3931140876067936,1.3306337731365645,2.227721089986131,all
10.7,160,0.40323783847967704,1.32002500276246,2.2276698004314497,all
10.8,160,0.418331721221305,1.3061246206943162,2.2224938927620714,all
10.9,160,0.42952904642885115,1.2955062400160087,2.2223404053911344,all
11.0,160,0.44122586617987547,1.2848881870193003,2.2221369500992454,all
11.1,160,0.4534294853645468,1.2742311935107546,2.2158457652892354,all
11.2,160,0.4661857554246305,1.2636184389914322,2.2155566930979447,all
11.3,160,0.4795040716589629,1.253007937173474,2.2152141025690235,all
11.4,160,0.49339674951108903,1.242366793426916,2.208815700374319,all
11.5,160,0.5079094469710876,1.231764376892523,2.208371411234336,all
11.6,160,0.5230561313261393,1.2211653381286547,2.207868093707167,all
11.7,160,0.5388539501425587,1.2105425280969435,2.201338929086064,all
11.8,160,0.5553500381521435,1.1999537155579154,2.2007214176839347,all
11.9,160,0.5725633270892576,1.1893690027625043,2.200036051263019,all
12.0,160,0.5905247352504319,1.1787888201327503,2.1992826255896776,all
8.0,220,0.5437013255288041,1.790703535801672,2.8486448480314728,all
8.1,220,0.5452541495524185,1.7780084338852795,2.8434853138788116,all
8.2,220,0.5449256099326674,1.7679068270661382,2.837017881809268,all
8.3,220,0.5472277023906315,1.7545880218321612,2.8318848930510434,all
8.4,220,0.5476291463379812,1.7440284365121168,2.8315563266702717,all
8.5,220,0.5506681275489878,1.7301010548159115,2.8264359999807596,all
8.6,220,0.5517194025966281,1.718928216466478,2.8200568157947967,all
8.7,220,0.5555003233319521,1.7044107960139416,2.814925665909894,all
8.8,220,0.5548264509087356,1.69593643050963,2.8134384649536828,all
8.9,220,0.5593194883177697,1.6808876376096087,2.8083014414315475,all
9.0,220,0.5617026074555964,1.6687430887456285,2.801960569198893,all
9.1,220,0.5669505841123972,1.6531399683834584,2.7967704658531005,all
9.2,220,0.5674778191759888,1.6438647930703478,2.7953683686826927,all
9.3,220,0.5734486375646434,1.6277572284375965,2.7901392959476046,all
9.4,220,0.577179029026079,1.6147073745598586,2.783772933616354,all
9.5,220,0.5812668230425393,1.60152078680703,2.783477143926605,all
9.6,220,0.585664363719433,1.5880579751878756,2.7770894415561727,all
9.7,220,0.5904273026093102,1.5744630967816728,2.7767517591534934,all
9.8,220,0.5955031383646091,1.5606018730564462,2.7703255955349815,all
9.9,220,0.6009255734101627,1.5465458439789062,2.763867684385033,all
10.0,220,0.6038283562346844,1.535913149959356,2.7625054068722457,all
10.1,220,0.6099079784088683,1.5215129710136943,2.756009948823485,all
10.2,220,0.6163671697311752,1.5069889570740762,2.755555905866352,all
10.3,220,0.6231652346894091,1.492220721777962,2.7489871962889803,all
10.4,220,0.630354349245875,1.477330589631574,2.7484490022583157,all
10.5,220,0.6347593271371745,1.4659283844578628,2.7409581246238703,all
10.6,220,0.642648370675962,1.4507203353268283,2.740351418986027,all
10.7,220,0.6509024461565232,1.435286120650645,2.7336188790508964,all
10.8,220,0.6562724102382996,1.4235596919040852,2.7321422765239087,all
10.9,220,0.665264256233439,1.4078263363431682,2.725317144521495,all
11.0,220,0.6712697966030776,1.3958677440684866,2.7237979318787513,all
11.1,220,0.6810247948420456,1.3798450275889735,2.7168717386041514,all
11.2,220,0.6876872787660664,1.3676649567479755,2.7152989904550036,all
11.3,220,0.6982330279253822,1.3513608340133476,2.7082593853005026,all
11.4,220,0.7055744874829458,1.338967973965832,2.7066248410047873,all
11.5,220,0.7169604304078343,1.3224281415180532,2.7055564398488166,all
11.6,220,0.7249929112027149,1.309793051975905,2.6977561303775417,all
11.7,220,0.7333708395169914,1.2971083693897507,2.6960214353974177,all
11.8,220,0.7460093366256308,1.2801553942644712,2.6886698686261847,all
11.9,220,0.7551362086484067,1.2672766399358222,2.6868528118107085,all
12.0,220,0.7646032110086383,1.2542894823587707,2.678884506020547,all
