v_start_cluster,Condition_Dist,Decision,RT_go,RT_stay,subj_id
8.0,160,0.1502906096073755,1.6145108029252038,2.093858810563646,all
8.1,160,0.15446747508537345,1.6083975328669962,2.1011688523473633,all
8.2,160,0.16045526392821327,1.5997702525528716,2.1108096855951626,all
8.3,160,0.16510538616292744,1.593532792268958,2.1182718239680214,all
8.4,160,0.16997926169133237,1.5872411695530497,2.1258125219510373,all
8.5,160,0.17853862714883528,1.575647295771452,2.1307556354382866,all
8.6,160,0.18396325787784018,1.5692040790984163,2.138391608363694,all
8.7,160,0.19148582656835242,1.5601063807797586,2.148156090325766,all
8.8,160,0.197442979923929,1.553528766961046,2.1558788015650387,all
8.9,160,0.203649655394531,1.5468926481189025,2.1636502708438217,all
9.0,160,0.2121334350244142,1.5375155787568673,2.1734333540187056,all
9.1,160,0.21890422944852414,1.530733389985135,2.1812567985903595,all
9.2,160,0.22808630871020463,1.5211500049299056,2.1910087605398014,all
9.3,160,0.2332670255523035,1.5171067587088933,2.203859047361582,all
9.4,160,0.24309780833951372,1.5073351474818157,2.213588761387205,all
9.5,160,0.2510011130404178,1.5002598139204688,2.22147807844653,all
9.6,160,0.26157865462803204,1.4902645032370945,2.2311362617380044,all
9.7,160,0.27010216283549626,1.4830204226045487,2.239018098641619,all
9.8,160,0.2789112447450114,1.4757023886426466,2.246904010836336,all
9.9,160,0.2906063044620521,1.4653684497532256,2.2564381828367344,all
10.0,160,0.3000539662253072,1.4578666118875212,2.2642890291338222,all
10.1,160,0.3125400580330654,1.4472825015808854,2.2737033903035333,all
10.2,160,0.32263552214100016,1.4395868576704998,2.2815016838443634,all
10.3,160,0.3330243788745975,1.431804588129056,2.289281866603558,all
10.4,160,0.34372990934699166,1.4240284099748104,2.3038223326545513,all
10.5,160,0.3547022027964727,1.4160639303613096,2.3115598226802083,all
10.6,160,0.36906270248338113,1.4048486661621877,2.3206632581529845,all
10.7,160,0.3806804693701925,1.396663032216105,2.328310364776029,all
10.8,160,0.39258300478571784,1.3883779089916168,2.335924103051658,all
10.9,160,0.40808781995177185,1.3767327819807704,2.3447823688788496,all
11.0,160,0.4206170174858952,1.3682083168645363,2.3522866142812515,all
11.1,160,0.43344166093987047,1.3596513482202928,2.366489949893816,all
11.2,160,0.4465102316764317,1.350906163163527,2.37390670826453,all
11.3,160,0.459838971515372,1.3420463912106322,2.3812745901817753,all
11.4,160,0.4734211579604234,1.3330703948159461,2.3885917444588163,all
11.5,160,0.4909785147189165,1.3205058750939176,2.3969211812740743,all
11.6,160,0.5013328086047125,1.3148204876421268,2.409783304993849,all
11.7,160,0.5194744453930203,1.30193395637587,2.417929005365678,all
11.8,160,0.53403812507613,1.2924221973994976,2.4249859941975394,all
11.9,160,0.5488047706082254,1.2827780665581818,2.431979176845729,all
12.0,160,0.5637816722073018,1.2730533573396503,2.4456029477712984,all
8.0,220,0.49538402053492714,1.7543770604809497,2.7268142884092588,all
8.1,220,0.5024439699353944,1.74437923199092,2.726831478330947,all
8.2,220,0.5077641845708843,1.7367923023310643,2.73237600370896,all
8.3,220,0.5134007655324495,1.7290028938491173,2.737955813469717,all
8.4,220,0.5192831613443082,1.7208896701699428,2.736545702076069,all
8.5,220,0.5255174014556183,1.7126897189118169,2.7422374815466948,all
8.6,220,0.5320328573115162,1.7042846987463058,2.7479524462855376,all
8.7,220,0.5388263253071865,1.6956780374543217,2.753682844105458,all
8.8,220,0.5480557901173047,1.6840082268504282,2.7540046201494004,all
8.9,220,0.5531595023590617,1.6777547025314237,2.7583139904057092,all
9.0,220,0.5607299515889521,1.6685453512798,2.764099747835684,all
9.1,220,0.5685408048559519,1.6591342149727064,2.769878080629244,all
9.2,220,0.576580961098897,1.6495206943956626,2.7756446210477237,all
9.3,220,0.5848396014032344,1.6397042062011742,2.781395933298901,all
9.4,220,0.591038173935243,1.6326398653758945,2.7858218153109973,all
9.5,220,0.6019338910882599,1.6193697254900359,2.786167910216585,all
9.6,220,0.6107943623360418,1.6089454416049283,2.791879547774279,all
9.7,220,0.6175459783754228,1.6013827820300952,2.796330887855985,all
9.8,220,0.6267474438506238,1.5905856432894965,2.801996779373837,all
9.9,220,0.6361061675963048,1.5795844320372996,2.807617917811938,all
10.0,220,0.645609819661678,1.5683744589963617,2.81319300668518,all
10.1,220,0.6529510230287425,1.5601658522219282,2.817606247717798,all
10.2,220,0.6627076397043038,1.5485774561298629,2.823105768745495,all
10.3,220,0.672573826513538,1.5367779752283588,2.8285488994503107,all
10.4,220,0.6802474478322509,1.5280878019835218,2.8328993372419964,all
10.5,220,0.6902980135933875,1.5159060274239164,2.8382442745861756,all
10.6,220,0.7004191001927302,1.5035116895910259,2.8435228541876802,all
10.7,220,0.7083303177581184,1.4943348778912353,2.847780815752974,all
10.8,220,0.7185622703558796,1.4815540456820688,2.852942452074743,all
10.9,220,0.7265767340437134,1.4720622016766822,2.8571304153129886,all
11.0,220,0.7368694012002919,1.4588898530190508,2.8621673279372315,all
11.1,220,0.7471657609661547,1.4455011631901997,2.8671214920860555,all
11.2,220,0.7552425569638648,1.4355147818702845,2.8711752977306912,all
11.3,220,0.7655222849810419,1.4217310462075923,2.8759884173844914,all
11.4,220,0.7736133715220237,1.4114785367211087,2.8860893485954424,all
11.5,220,0.7816661371804194,1.4010276307047203,2.8899888516313927,all
11.6,220,0.7918315062521515,1.386668537321953,2.894566033955834,all
11.7,220,0.7998042368510859,1.3758968350630658,2.898359028640002,all
11.8,220,0.8098238874638621,1.3611402310587581,2.902777075223645,all
11.9,220,0.8176768246417682,1.3500496942842108,2.9064512912411695,all
12.0,220,0.8275020023250407,1.3348973105984583,2.910700910734798,all
