v_start_cluster,Condition_Dist,Decision,RT_go,RT_stay,subj_id
8.0,160,0.33646242499291645,1.4771601045218385,2.3167753475676736,all
8.1,160,0.3351231699380229,1.4723530235955777,2.308273686939346,all
8.2,160,0.3313443555256828,1.4708546091390762,2.298342806234195,all
8.3,160,0.3301969620214404,1.4660262966107955,2.2899862444644716,all
8.4,160,0.3265991345619269,1.4645064635649288,2.28018106914692,all
8.5,160,0.3231349273766548,1.4631771463198364,2.2771017547848604,all
8.6,160,0.32224679167730275,1.4583316798684447,2.2689540053728594,all
8.7,160,0.3189012435826982,1.4567928163025707,2.2593368916624206,all
8.8,160,0.31817613919359816,1.4519439459522245,2.2513140027367227,all
8.9,160,0.3175338999881686,1.4470923532092195,2.2433456084518317,all
9.0,160,0.3144113931004017,1.445549964721574,2.233890830091438,all
9.1,160,0.31391905278988463,1.4407038210493384,2.226034424709553,all
9.2,160,0.3109795838177378,1.439373069012666,2.2234080384787704,all
9.3,160,0.3080632063410826,1.4378300883108908,2.214102765462353,all
9.4,160,0.30777082194121513,1.432995472561097,2.206407487344678,all
9.5,160,0.3075510927851612,1.4281701338921071,2.1987626213801,all
9.6,160,0.3048149647678771,1.4266351364980967,2.18958551637101,all
9.7,160,0.30218802621624136,1.4253292019535966,2.187220288473456,all
9.8,160,0.30214559132478624,1.420524991296628,2.1797148781457114,all
9.9,160,0.29958139874494294,1.4190063343737813,2.170666991820707,all
10.0,160,0.2996535644800953,1.4142180091285392,2.1632415608892948,all
10.1,160,0.29719181132645595,1.4127114646330563,2.1542645429079146,all
10.2,160,0.29483121227854264,1.4114429856904114,2.1521243091873705,all
10.3,160,0.2950578007543311,1.4066872715243997,2.1448197317847466,all
10.4,160,0.29534223695314776,1.4019407228954612,2.1375493751497694,all
10.5,160,0.29311917564472334,1.4007031083586126,2.1355276224988895,all
10.6,160,0.2908930768516987,1.3992359927317721,2.126735106032635,all
10.7,160,0.2913163072810482,1.39452559536848,2.1195740065741537,all
10.8,160,0.2891729076228039,1.3930738323007725,2.1108392490672565,all
10.9,160,0.28712252544715133,1.3918708495421228,2.1089585987339077,all
11.0,160,0.2876747089132739,1.3872002750614492,2.1018985191395183,all
11.1,160,0.285649272061742,1.3857724789797492,2.0932517347247015,all
11.2,160,0.28371458268195615,1.3846009147606417,2.091467742374801,all
11.3,160,0.28438545341987453,1.3799692619452262,2.0845011895957266,all
11.4,160,0.28510453885333537,1.375347636884418,2.0775565336928947,all
11.5,160,0.2832713888337268,1.3742111785547828,2.0758629918181226,all
11.6,160,0.28142270342596803,1.372835663876817,2.0673605997456455,all
11.7,160,0.282250733740902,1.3682567041508273,2.0604995626914397,all
11.8,160,0.2805152090479888,1.3671517754873264,2.058890542129185,all
11.9,160,0.27876051178285327,1.365802951541208,2.0504607987024968,all
12.0,160,0.27969072697266045,1.3612673201435004,2.0436807678474587,all
8.0,220,0.7279633633343755,1.5674283426245383,2.841462534140872,all
8.1,220,0.7246411844888194,1.565551133122276,2.832251155106973,all
8.2,220,0.7195258774266702,1.5670871863442484,2.822034878658598,all
8.3,220,0.7145354954027496,1.5686892235496541,2.8182768583161364,all
8.4,220,0.7114492791931805,1.5664949682652698,2.809241274655965,all
8.5,220,0.7065076107798706,1.567738219237047,2.799166921678469,all
8.6,220,0.7035825888542984,1.5653494950642448,2.7902050874370734,all
8.7,220,0.6988405453500989,1.5665958357488448,2.786772557613823,all
8.8,220,0.6940738203301677,1.5675791240355808,2.77681990056265,all
8.9,220,0.6913741573750964,1.5649322131970071,2.768009966211658,all
9.0,220,0.6868107482813883,1.5659496088040246,2.7647916290831924,all
9.1,220,0.6842616991080155,1.5631429228222322,2.7560872924814106,all
9.2,220,0.6797330911308856,1.5638217565671557,2.7462677889279465,all
9.3,220,0.675341851239611,1.5646384362815673,2.7432486669979617,all
9.4,220,0.673007443759201,1.5616168513209432,2.7346657888405987,all
9.5,220,0.6686424960151425,1.5620955152752332,2.7249409955235064,all
9.6,220,0.6644168464116929,1.5627320022459696,2.722102997631629,all
9.7,220,0.6622889733578721,1.5595192480346982,2.713629207068599,all
9.8,220,0.658082714492199,1.5598194254430484,2.703984927067986,all
9.9,220,0.6560872698206806,1.556481502916433,2.6955500215078,all
10.0,220,0.6520889647201594,1.5569132477158516,2.69293318952188,all
10.1,220,0.6502301517580286,1.5534677554602054,2.6845743311254484,all
10.2,220,0.6462361813047435,1.5535577149561728,2.6750117900934716,all
10.3,220,0.6423921322611261,1.5538534949072118,2.672543819313615,all
10.4,220,0.6407205112383146,1.5502628568115195,2.6642640150517947,all
10.5,220,0.636872154741361,1.5502156399207965,2.6547564027125934,all
10.6,220,0.6331766111010937,1.5503907291841543,2.6524254777660214,all
10.7,220,0.6316863690075816,1.5466721407195503,2.6442134619676025,all
10.8,220,0.6279775621865882,1.5465012327331662,2.634752730593063,all
10.9,220,0.6244244107543304,1.5465691101972745,2.6325485882406325,all
11.0,220,0.6231068970719393,1.542734799532528,2.624396203915459,all
11.1,220,0.6218522881152589,1.538858078740708,2.616252823030286,all
11.2,220,0.6184444795174168,1.5388306431632317,2.614171543417438,all
11.3,220,0.6149648853148126,1.538489640847739,2.6047828012452623,all
11.4,220,0.6138728845148321,1.534514082089988,2.596685527802558,all
11.5,220,0.6105987399008972,1.5344080989956859,2.594709567582034,all
11.6,220,0.607242597921094,1.5339735711951374,2.585348370314088,all
11.7,220,0.6063054721804675,1.529909614762763,2.5772939020201067,all
11.8,220,0.6031575605668424,1.5297313278829183,2.5754157631652155,all
