v_start_cluster,Condition_Dist,Decision,RT_go,RT_stay,subj_id
8.0,160,0.15622548990054275,1.6080348533506637,2.330942051953086,all
8.1,160,0.15934069141340004,1.5987379450975865,2.3304028408172157,all
8.2,160,0.16266256095439527,1.5894382052494935,2.3299302344683195,all
8.3,160,0.1683441877892726,1.5775347980679764,2.331249450309158,all
8.4,160,0.17216003071307942,1.5682256485311932,2.330866155147767,all
8.5,160,0.1785062856862442,1.556292115725919,2.3321940796621736,all
8.6,160,0.1828606114556523,1.5469805779797323,2.3318760358212995,all
8.7,160,0.18746648112202643,1.5376745851127718,2.331595456266962,all
8.8,160,0.19488159803193722,1.5257170274194873,2.332913821588768,all
8.9,160,0.20010151561536502,1.5164174310573995,2.332665609290587,all
9.0,160,0.20560825416345674,1.5071268644835913,2.3324403498990436,all
9.1,160,0.21425393552471805,1.4951584058056506,2.3336993152994956,all
9.2,160,0.22046686440062882,1.4858808067467515,2.333475404267951,all
9.3,160,0.22700973446785797,1.4766149435643587,2.3332614473350803,all
9.4,160,0.23389713881194346,1.467361576747114,2.3330519866658874,all
9.5,160,0.2444408283999512,1.455397994870562,2.3341746583587653,all
9.6,160,0.252183332080106,1.446163668127998,2.3339313696580333,all
9.7,160,0.2603256067990688,1.4369436071697923,2.333680976302808,all
9.8,160,0.26888622974051163,1.4277374668590097,2.333416906693717,all
9.9,160,0.28174410711149317,1.4157910976792447,2.3343324959622187,all
10.0,160,0.2913487984804224,1.4066082320687356,2.3340034784641,all
10.1,160,0.3014419220763703,1.3974402566520068,2.3336495632393572,all
10.2,160,0.3120472165602874,1.3882879111334268,2.333272603194856,all
10.3,160,0.32318964363880737,1.37915101415795,2.332866070669562,all
10.4,160,0.3348955669132583,1.3700293961978895,2.332424477385323,all
10.5,160,0.34719288015278615,1.3609232882637508,2.3319484700303073,all
10.6,160,0.3652377903483262,1.3490296970084237,2.3323750783365695,all
10.7,160,0.3790186560444479,1.3399487893329864,2.3317827084464535,all
10.8,160,0.39349483990911577,1.330883144371664,2.331145102042782,all
10.9,160,0.4087014555398931,1.3218325840529077,2.330457096971973,all
11.0,160,0.42467563223827925,1.3127973869841014,2.32972171517628,all
11.1,160,0.4414563980307891,1.303776957716619,2.3289314525150573,all
11.2,160,0.4590849804211255,1.2947710224737785,2.328081464789025,all
11.3,160,0.47760497425396153,1.2857798462607501,2.327178513205303,all
11.4,160,0.49706215485157346,1.2768025702430306,2.32621006399934,all
11.5,160,0.5175049955922006,1.267839309565478,2.325177701352767,all
11.6,160,0.5389845325766974,1.2588896944836794,2.3240821859680705,all
11.7,160,0.5615545303455983,1.2499530664849936,2.3229108556265183,all
11.8,160,0.5852719036608043,1.2410297038019351,2.3216749714771514,all
11.9,160,0.6013068959839086,1.2349911369055977,2.3199040771383754,all
12.0,160,0.6270977765998813,1.226097532645843,2.3185536811104033,all
8.0,220,0.5202780609426987,1.7227809376666439,2.800840598705662,all
8.1,220,0.5207590842556965,1.7140418926228127,2.798112194291162,all
8.2,220,0.5215374542456125,1.7051520455723397,2.795458457450012,all
8.3,220,0.525409414354235,1.6930560503856842,2.7941859078762823,all
8.4,220,0.5268102243480632,1.6838546759746535,2.791646640932021,all
8.5,220,0.5313817610577238,1.6713987986734,2.790426280255737,all
8.6,220,0.5334034440465144,1.6619040595365917,2.7879839596575313,all
8.7,220,0.5357165335058344,1.6522814834590729,2.785594924252007,all
8.8,220,0.5413258245503669,1.639333969797228,2.7844360246486217,all
8.9,220,0.5442629227850391,1.6294428260039597,2.782119567585563,all
9.0,220,0.5474927570785976,1.619435613288428,2.7798445935165432,all
9.1,220,0.5541625713966984,1.6060309572230986,2.778710263742174,all
9.2,220,0.5580274303255469,1.5957772643630004,2.7764847943066258,all
9.3,220,0.5621900149020613,1.585417985944936,2.7742901213503046,all
9.4,220,0.5666522374090641,1.5749563513866027,2.772122923898761,all
9.5,220,0.5747722550080524,1.56100090130193,2.77097845924548,all
9.6,220,0.5798948399303048,1.550318581615486,2.768832377262995,all
9.7,220,0.5853267438371582,1.5395428747119857,2.7667036246755887,all
9.8,220,0.5910713608855291,1.5286765461513503,2.764589554811854,all
9.9,220,0.6007286808289934,1.5142175783335698,2.763378378901548,all
10.0,220,0.6071721330712532,1.5031526383838427,2.7612590687608805,all
10.1,220,0.6139426142283401,1.4920047314823985,2.7591455056021092,all
10.2,220,0.6210449866147639,1.4807761973072093,2.7570341860167757,all
10.3,220,0.6284844699702081,1.4694692863612844,2.754922519185465,all
10.4,220,0.6362666402412637,1.4580861539501422,2.752808218678,all
10.5,220,0.6443974311070549,1.4466288606933448,2.7506881384003745,all
10.6,220,0.6569735150805999,1.4314085777141905,2.7492633201674077,all
10.7,220,0.6658984984759898,1.4197836265201187,2.7470981538051285,all
10.8,220,0.675194543727924,1.4080901943061455,2.7449195744346797,all
10.9,220,0.684869113462082,1.3963300002148928,2.7427249093954282,all
11.0,220,0.6949300454416814,1.3845046837418262,2.740512278609667,all
11.1,220,0.7053855565719461,1.3726158043242775,2.7382791814582275,all
11.2,220,0.7162442476887659,1.3606648442801015,2.7360229320995924,all
11.3,220,0.7275151089797062,1.3486532129412987,2.7337419548303488,all
11.4,220,0.7392075242371492,1.336582243131449,2.7314338154498814,all
11.5,220,0.7513312773592674,1.3244531958357846,2.729095932898143,all
11.6,220,0.7638965589123836,1.3122672642826048,2.726727048654795,all
11.7,220,0.776913970706474,1.3000255681485928,2.724324557431535,all
11.8,220,0.7903945345200949,1.2877291617243332,2.7218862462066733,all
